starting_word,file,solutions_found,minimum_guesses,maximum_guesses,expected_guesses,total_guesses,first_guess_solves,solved_in_1,solved_in_2,solved_in_3,solved_in_4,solved_in_5,solved_in_6,solved_in_7_plus
tarse,tarse.txt,2309,2,6,3.414032,7883,0,0,77,1271,890,70,1,0
salet,salet.txt,2309,2,5,3.418796,7894,0,0,90,1239,903,77,0,0
reast,reast.txt,2309,2,6,3.419662,7896,0,0,83,1257,887,81,1,0
crate,crate.txt,2309,1,6,3.420961,7899,1,1,88,1245,889,85,1,0
slate,slate.txt,2309,1,6,3.420961,7899,1,1,82,1266,869,86,5,0
trace,trace.txt,2309,1,6,3.420961,7899,1,1,92,1236,895,84,1,0
crane,crane.txt,2309,1,6,3.422261,7902,1,1,87,1242,895,83,1,0
carle,carle.txt,2309,2,6,3.425292,7909,0,0,83,1243,903,78,2,0
carne,carne.txt,2309,2,6,3.428757,7917,0,0,88,1235,896,88,2,0
slane,slane.txt,2309,2,6,3.428757,7917,0,0,81,1252,884,89,3,0
slant,slant.txt,2309,1,6,3.430489,7921,1,1,80,1230,921,76,1,0
torse,torse.txt,2309,2,5,3.430489,7921,0,0,82,1234,910,83,0,0
carte,carte.txt,2309,2,6,3.430922,7922,0,0,94,1215,912,87,1,0
sater,sater.txt,2309,2,6,3.431356,7923,0,0,71,1249,913,74,2,0
least,least.txt,2309,1,6,3.432655,7926,1,1,79,1236,908,83,2,0
trice,trice.txt,2309,1,6,3.433088,7927,1,1,84,1227,910,85,2,0
prate,prate.txt,2309,2,6,3.435253,7932,0,0,88,1213,924,83,1,0
trine,trine.txt,2309,2,6,3.435253,7932,0,0,86,1225,908,87,3,0
caret,caret.txt,2309,2,6,3.436553,7935,0,0,89,1214,916,89,1,0
slart,slart.txt,2309,2,6,3.436986,7936,0,0,75,1224,937,72,1,0
clast,clast.txt,2309,2,6,3.439151,7941,0,0,79,1210,949,69,2,0
rance,rance.txt,2309,2,6,3.439151,7941,0,0,77,1225,924,82,1,0
trone,trone.txt,2309,2,6,3.439151,7941,0,0,75,1233,915,84,2,0
roast,roast.txt,2309,1,6,3.439584,7942,1,1,76,1226,922,81,3,0
stale,stale.txt,2309,1,6,3.439584,7942,1,1,84,1219,914,86,5,0
tiare,tiare.txt,2309,2,6,3.439584,7942,0,0,79,1232,905,90,3,0
ranse,ranse.txt,2309,2,6,3.44045,7944,0,0,64,1235,940,69,1,0
earst,earst.txt,2309,2,6,3.440883,7945,0,0,83,1219,916,88,3,0
train,train.txt,2309,1,6,3.440883,7945,1,1,85,1217,909,95,2,0
carse,carse.txt,2309,2,6,3.441317,7946,0,0,77,1229,912,89,2,0
lance,lance.txt,2309,1,6,3.441317,7946,1,1,76,1218,932,81,1,0
stare,stare.txt,2309,1,6,3.442183,7948,1,1,68,1241,911,84,4,0
crine,crine.txt,2309,2,6,3.442616,7949,0,0,70,1229,930,78,2,0
trade,trade.txt,2309,1,6,3.442616,7949,1,1,81,1215,924,83,5,0
trape,trape.txt,2309,2,6,3.442616,7949,0,0,86,1205,929,88,1,0
leant,leant.txt,2309,1,6,3.443049,7950,1,1,81,1206,937,83,1,0
taser,taser.txt,2309,2,6,3.443049,7950,0,0,76,1215,939,77,2,0
reist,reist.txt,2309,2,6,3.443915,7952,0,0,90,1205,917,93,4,0
roist,roist.txt,2309,2,6,3.443915,7952,0,0,78,1219,923,87,2,0
saint,saint.txt,2309,1,6,3.444348,7953,1,1,78,1214,928,86,2,0
snare,snare.txt,2309,1,6,3.444348,7953,1,1,73,1229,915,87,4,0
scale,scale.txt,2309,1,6,3.445214,7955,1,1,78,1208,939,80,3,0
react,react.txt,2309,1,5,3.445647,7956,1,1,89,1190,938,91,0,0
stane,stane.txt,2309,2,6,3.446081,7957,0,0,72,1223,930,80,4,0
toile,toile.txt,2309,2,5,3.446081,7957,0,0,70,1232,914,93,0,0
peart,peart.txt,2309,2,6,3.446947,7959,0,0,96,1179,941,92,1,0
crone,crone.txt,2309,1,5,3.447813,7961,1,1,75,1211,933,89,0,0
loast,loast.txt,2309,2,6,3.447813,7961,0,0,68,1225,932,82,2,0
parte,parte.txt,2309,2,5,3.447813,7961,0,0,91,1173,965,80,0,0
slice,slice.txt,2309,1,6,3.447813,7961,1,1,74,1220,921,90,3,0
sacre,sacre.txt,2309,2,6,3.448246,7962,0,0,73,1229,907,99,1,0
clart,clart.txt,2309,2,6,3.449112,7964,0,0,80,1198,946,84,1,0
plate,plate.txt,2309,1,6,3.449112,7964,1,1,87,1182,955,81,3,0
riant,riant.txt,2309,2,6,3.449112,7964,0,0,79,1210,925,94,1,0
drant,drant.txt,2309,2,6,3.449545,7965,0,0,75,1228,905,95,6,0
roset,roset.txt,2309,2,5,3.449545,7965,0,0,72,1216,932,89,0,0
crise,crise.txt,2309,2,6,3.449978,7966,0,0,69,1221,935,79,5,0
alist,alist.txt,2309,2,6,3.450845,7968,0,0,77,1216,917,96,3,0
corse,corse.txt,2309,2,6,3.450845,7968,0,0,78,1203,938,89,1,0
roate,roate.txt,2309,2,6,3.450845,7968,0,0,70,1225,918,95,1,0
saner,saner.txt,2309,1,6,3.450845,7968,1,1,76,1192,963,75,2,0
sorel,sorel.txt,2309,2,6,3.451278,7969,0,0,63,1231,928,84,3,0
dealt,dealt.txt,2309,1,5,3.451711,7970,1,1,85,1171,974,78,0,0
plane,plane.txt,2309,1,6,3.452144,7971,1,1,89,1163,980,73,3,0
resat,resat.txt,2309,2,6,3.452144,7971,0,0,78,1207,927,96,1,0
close,close.txt,2309,1,6,3.452577,7972,1,1,68,1213,942,82,3,0
tares,tares.txt,2309,2,6,3.452577,7972,0,0,72,1209,940,87,1,0
parse,parse.txt,2309,1,6,3.45301,7973,1,1,90,1173,955,87,3,0
soare,soare.txt,2309,2,6,3.453443,7974,0,0,62,1237,916,89,5,0
canst,canst.txt,2309,2,6,3.453876,7975,0,0,67,1210,951,79,2,0
ronte,ronte.txt,2309,2,5,3.453876,7975,0,0,76,1192,958,83,0,0
stile,stile.txt,2309,2,6,3.453876,7975,0,0,75,1202,943,87,2,0
caner,caner.txt,2309,2,6,3.454309,7976,0,0,82,1190,946,88,3,0
sault,sault.txt,2309,2,6,3.454309,7976,0,0,77,1198,945,86,3,0
artel,artel.txt,2309,2,6,3.454742,7977,0,0,77,1195,949,86,2,0
strae,strae.txt,2309,2,6,3.454742,7977,0,0,62,1225,934,86,2,0
aline,aline.txt,2309,2,6,3.455175,7978,0,0,78,1194,946,90,1,0
crost,crost.txt,2309,2,6,3.455175,7978,0,0,69,1222,921,92,5,0
liane,liane.txt,2309,2,6,3.455175,7978,0,0,74,1210,928,94,3,0
prase,prase.txt,2309,2,6,3.455175,7978,0,0,81,1201,926,97,4,0
store,store.txt,2309,1,6,3.455175,7978,1,1,68,1216,930,91,3,0
trail,trail.txt,2309,1,6,3.455175,7978,1,1,80,1204,916,107,1,0
antre,antre.txt,2309,2,6,3.455608,7979,0,0,88,1173,957,90,1,0
tears,tears.txt,2309,2,6,3.455608,7979,0,0,69,1211,940,86,3,0
raine,raine.txt,2309,2,6,3.456042,7980,0,0,72,1222,908,104,3,0
saine,saine.txt,2309,2,6,3.456042,7980,0,0,82,1191,941,91,4,0
stole,stole.txt,2309,1,6,3.456042,7980,1,1,67,1218,927,93,3,0
tried,tried.txt,2309,1,6,3.456042,7980,1,1,90,1165,964,86,3,0
tripe,tripe.txt,2309,1,6,3.456042,7980,1,1,82,1182,954,87,3,0
orant,orant.txt,2309,2,6,3.456475,7981,0,0,77,1193,950,86,3,0
orate,orate.txt,2309,2,6,3.456475,7981,0,0,78,1199,933,98,1,0
scart,scart.txt,2309,2,6,3.456475,7981,0,0,74,1188,968,77,2,0
earnt,earnt.txt,2309,2,6,3.456908,7982,0,0,83,1187,941,97,1,0
thale,thale.txt,2309,2,6,3.456908,7982,0,0,85,1176,959,86,3,0
truce,truce.txt,2309,1,6,3.456908,7982,1,1,87,1178,945,95,3,0
cater,cater.txt,2309,1,5,3.457341,7983,1,1,87,1167,963,91,0,0
cline,cline.txt,2309,2,6,3.457341,7983,0,0,79,1193,942,92,3,0
raile,raile.txt,2309,2,6,3.457341,7983,0,0,63,1220,935,89,2,0
slade,slade.txt,2309,2,6,3.457341,7983,0,0,73,1189,967,78,2,0
snirt,snirt.txt,2309,2,6,3.457341,7983,0,0,72,1212,924,99,2,0
trans,trans.txt,2309,2,6,3.457341,7983,0,0,62,1214,950,81,2,0
seral,seral.txt,2309,2,6,3.457774,7984,0,0,66,1219,927,95,2,0
tarns,tarns.txt,2309,2,6,3.457774,7984,0,0,67,1192,977,72,1,0
stire,stire.txt,2309,2,6,3.458207,7985,0,0,70,1211,933,90,5,0
arose,arose.txt,2309,1,6,3.459073,7987,1,1,56,1233,927,85,7,0
crest,crest.txt,2309,1,6,3.459073,7987,1,1,75,1188,954,90,1,0
alter,alter.txt,2309,1,6,3.459506,7988,1,1,75,1188,953,91,1,0
liart,liart.txt,2309,2,6,3.459506,7988,0,0,71,1204,937,96,1,0
place,place.txt,2309,1,6,3.459506,7988,1,1,78,1178,965,85,2,0
plast,plast.txt,2309,2,6,3.459506,7988,0,0,88,1158,979,82,2,0
toner,toner.txt,2309,2,5,3.459506,7988,0,0,78,1183,957,91,0,0
anile,anile.txt,2309,2,6,3.459939,7989,0,0,79,1189,942,98,1,0
spalt,spalt.txt,2309,2,6,3.459939,7989,0,0,81,1169,977,80,2,0
taler,taler.txt,2309,2,6,3.459939,7989,0,0,76,1183,963,86,1,0
caste,caste.txt,2309,1,6,3.460372,7990,1,1,72,1187,964,82,3,0
irate,irate.txt,2309,1,6,3.460372,7990,1,1,63,1215,935,92,3,0
parle,parle.txt,2309,2,6,3.460372,7990,0,0,75,1192,947,94,1,0
raise,raise.txt,2309,1,6,3.460372,7990,1,1,67,1217,919,102,3,0
clint,clint.txt,2309,2,6,3.460806,7991,0,0,65,1203,955,84,2,0
palet,palet.txt,2309,2,5,3.460806,7991,0,0,87,1161,971,90,0,0
rinse,rinse.txt,2309,1,6,3.460806,7991,1,1,77,1193,936,99,3,0
snore,snore.txt,2309,1,6,3.460806,7991,1,1,77,1193,935,101,2,0
socle,socle.txt,2309,2,6,3.460806,7991,0,0,72,1191,958,86,2,0
spart,spart.txt,2309,2,5,3.460806,7991,0,0,77,1183,957,92,0,0
alert,alert.txt,2309,1,6,3.461239,7992,1,1,78,1184,950,93,3,0
cadre,cadre.txt,2309,2,5,3.461239,7992,0,0,78,1170,979,82,0,0
crape,crape.txt,2309,2,6,3.461239,7992,0,0,84,1170,962,92,1,0
grate,grate.txt,2309,1,6,3.461239,7992,1,1,72,1187,960,88,1,0
slier,slier.txt,2309,2,6,3.461239,7992,0,0,75,1185,960,87,2,0
tales,tales.txt,2309,2,5,3.461239,7992,0,0,73,1181,972,83,0,0
clone,clone.txt,2309,1,5,3.461672,7993,1,1,75,1168,987,78,0,0
teals,teals.txt,2309,2,6,3.461672,7993,0,0,70,1193,957,88,1,0
tride,tride.txt,2309,2,6,3.461672,7993,0,0,77,1180,964,85,3,0
caple,caple.txt,2309,2,6,3.462105,7994,0,0,82,1172,964,88,3,0
ceorl,ceorl.txt,2309,2,6,3.462105,7994,0,0,69,1211,927,97,5,0
scare,scare.txt,2309,1,6,3.462105,7994,1,1,73,1197,935,102,1,0
spale,spale.txt,2309,2,6,3.462105,7994,0,0,85,1175,950,95,4,0
trial,trial.txt,2309,1,6,3.462105,7994,1,1,69,1208,926,103,2,0
alien,alien.txt,2309,1,5,3.462971,7996,1,1,82,1172,955,99,0,0
cruet,cruet.txt,2309,2,6,3.462971,7996,0,0,88,1162,962,96,1,0
sient,sient.txt,2309,2,6,3.462971,7996,0,0,79,1192,931,104,3,0
spare,spare.txt,2309,1,6,3.462971,7996,1,1,76,1179,963,86,4,0
drole,drole.txt,2309,2,6,3.463404,7997,0,0,70,1187,966,84,2,0
porte,porte.txt,2309,2,5,3.463404,7997,0,0,83,1148,1003,75,0,0
scant,scant.txt,2309,1,6,3.463404,7997,1,1,67,1188,970,80,3,0
taels,taels.txt,2309,2,6,3.463404,7997,0,0,67,1187,975,78,2,0
trope,trope.txt,2309,1,5,3.463404,7997,1,1,71,1175,981,81,0,0
perst,perst.txt,2309,2,6,3.463837,7998,0,0,88,1150,985,84,2,0
saice,saice.txt,2309,2,6,3.463837,7998,0,0,62,1231,904,107,5,0
slipt,slipt.txt,2309,2,6,3.463837,7998,0,0,77,1178,961,92,1,0
snort,snort.txt,2309,1,6,3.463837,7998,1,1,72,1179,973,80,4,0
sonce,sonce.txt,2309,2,6,3.463837,7998,0,0,78,1186,948,90,7,0
tared,tared.txt,2309,2,6,3.463837,7998,0,0,79,1170,974,82,4,0
alone,alone.txt,2309,1,6,3.46427,7999,1,1,72,1183,962,89,2,0
clote,clote.txt,2309,2,6,3.46427,7999,0,0,65,1202,948,93,1,0
clade,clade.txt,2309,2,6,3.464703,8000,0,0,71,1185,965,85,3,0
ratel,ratel.txt,2309,2,5,3.464703,8000,0,0,84,1158,977,90,0,0
sared,sared.txt,2309,2,6,3.464703,8000,0,0,67,1191,964,85,2,0
setal,setal.txt,2309,2,6,3.464703,8000,0,0,73,1190,949,94,3,0
spate,spate.txt,2309,2,6,3.464703,8000,0,0,81,1174,959,90,5,0
tores,tores.txt,2309,2,6,3.464703,8000,0,0,70,1193,950,95,1,0
drone,drone.txt,2309,1,6,3.465136,8001,1,1,84,1156,979,86,3,0
tails,tails.txt,2309,2,6,3.465136,8001,0,0,72,1184,962,89,2,0
danse,danse.txt,2309,2,6,3.46557,8002,0,0,69,1200,939,98,3,0
nacre,nacre.txt,2309,2,6,3.46557,8002,0,0,78,1175,960,95,1,0
siren,siren.txt,2309,1,6,3.46557,8002,1,1,75,1184,947,101,1,0
tenor,tenor.txt,2309,1,5,3.46557,8002,1,1,70,1180,969,89,0,0
dearn,dearn.txt,2309,2,6,3.466003,8003,0,0,91,1140,992,83,3,0
dorse,dorse.txt,2309,2,6,3.466003,8003,0,0,67,1178,988,73,3,0
tries,tries.txt,2309,2,6,3.466003,8003,0,0,73,1186,956,89,5,0
cairn,cairn.txt,2309,1,6,3.466436,8004,1,1,78,1175,956,96,3,0
coate,coate.txt,2309,2,6,3.466436,8004,0,0,66,1203,938,101,1,0
scrae,scrae.txt,2309,2,6,3.466436,8004,0,0,68,1197,945,97,2,0
scrat,scrat.txt,2309,2,6,3.466436,8004,0,0,63,1187,980,77,2,0
sitar,sitar.txt,2309,2,6,3.466436,8004,0,0,71,1176,977,84,1,0
larnt,larnt.txt,2309,2,6,3.467302,8006,0,0,63,1191,970,83,2,0
nitre,nitre.txt,2309,2,6,3.467302,8006,0,0,70,1180,971,86,2,0
prole,prole.txt,2309,2,6,3.467302,8006,0,0,69,1187,960,91,2,0
rince,rince.txt,2309,2,6,3.467302,8006,0,0,69,1185,964,89,2,0
shalt,shalt.txt,2309,1,6,3.467302,8006,1,1,79,1171,958,98,2,0
tolar,tolar.txt,2309,2,5,3.467302,8006,0,0,79,1162,978,90,0,0
aisle,aisle.txt,2309,1,6,3.467735,8007,1,1,70,1184,962,86,6,0
alose,alose.txt,2309,2,6,3.467735,8007,0,0,66,1194,953,95,1,0
cleat,cleat.txt,2309,1,6,3.467735,8007,1,1,87,1150,976,92,3,0
lacet,lacet.txt,2309,2,6,3.467735,8007,0,0,75,1163,988,82,1,0
rione,rione.txt,2309,2,6,3.467735,8007,0,0,65,1205,935,102,2,0
shale,shale.txt,2309,1,6,3.467735,8007,1,1,84,1159,969,91,5,0
siler,siler.txt,2309,2,6,3.467735,8007,0,0,71,1178,970,89,1,0
ariel,ariel.txt,2309,2,6,3.468168,8008,0,0,68,1190,954,96,1,0
carpe,carpe.txt,2309,2,6,3.468168,8008,0,0,92,1136,991,88,2,0
price,price.txt,2309,1,6,3.468168,8008,1,1,82,1159,974,88,5,0
raned,raned.txt,2309,2,6,3.468168,8008,0,0,84,1144,998,82,1,0
coast,coast.txt,2309,1,6,3.468601,8009,1,1,64,1201,942,97,4,0
learn,learn.txt,2309,1,6,3.468601,8009,1,1,88,1147,978,91,4,0
rates,rates.txt,2309,2,6,3.468601,8009,0,0,70,1177,973,88,1,0
satin,satin.txt,2309,1,6,3.468601,8009,1,1,79,1159,980,87,3,0
soler,soler.txt,2309,2,6,3.468601,8009,0,0,60,1202,953,93,1,0
drice,drice.txt,2309,2,6,3.469034,8010,0,0,81,1164,968,92,4,0
olate,olate.txt,2309,2,6,3.469034,8010,0,0,66,1190,959,92,2,0
plant,plant.txt,2309,1,5,3.469034,8010,1,1,76,1156,991,85,0,0
table,table.txt,2309,1,6,3.469034,8010,1,1,85,1141,999,78,5,0
toise,toise.txt,2309,2,6,3.469034,8010,0,0,71,1177,970,89,2,0
anole,anole.txt,2309,2,6,3.469467,8011,0,0,76,1167,974,90,2,0
dance,dance.txt,2309,1,6,3.469467,8011,1,1,62,1187,971,87,1,0
denar,denar.txt,2309,2,6,3.469467,8011,0,0,85,1146,988,89,1,0
halse,halse.txt,2309,2,6,3.469467,8011,0,0,79,1168,967,89,6,0
heart,heart.txt,2309,1,6,3.469467,8011,1,1,90,1152,958,106,2,0
laten,laten.txt,2309,2,5,3.469467,8011,0,0,85,1142,995,87,0,0
litre,litre.txt,2309,2,6,3.469467,8011,0,0,76,1173,961,98,1,0
paire,paire.txt,2309,2,6,3.469467,8011,0,0,83,1160,969,93,4,0
stair,stair.txt,2309,1,6,3.469467,8011,1,1,68,1178,972,88,2,0
tired,tired.txt,2309,2,6,3.469467,8011,0,0,83,1146,996,81,3,0
trode,trode.txt,2309,2,6,3.469467,8011,0,0,73,1177,966,88,5,0
ancle,ancle.txt,2309,2,6,3.4699,8012,0,0,76,1167,974,89,3,0
brane,brane.txt,2309,2,6,3.4699,8012,0,0,82,1155,980,89,3,0
caron,caron.txt,2309,2,6,3.4699,8012,0,0,88,1148,976,94,3,0
toran,toran.txt,2309,2,6,3.4699,8012,0,0,82,1161,968,95,3,0
triol,triol.txt,2309,2,6,3.4699,8012,0,0,73,1193,930,111,2,0
arled,arled.txt,2309,2,5,3.470333,8013,0,0,79,1150,995,85,0,0
blate,blate.txt,2309,2,6,3.470333,8013,0,0,87,1142,991,85,4,0
carts,carts.txt,2309,2,6,3.470333,8013,0,0,74,1157,997,80,1,0
lapse,lapse.txt,2309,1,6,3.470333,8013,1,1,80,1157,978,89,4,0
shart,shart.txt,2309,2,6,3.470333,8013,0,0,77,1176,950,105,1,0
silen,silen.txt,2309,2,5,3.470333,8013,0,0,76,1163,978,92,0,0
prest,prest.txt,2309,2,6,3.470767,8014,0,0,90,1147,971,97,4,0
rosit,rosit.txt,2309,2,6,3.470767,8014,0,0,75,1168,971,94,1,0
teras,teras.txt,2309,2,6,3.470767,8014,0,0,68,1189,951,99,2,0
arets,arets.txt,2309,2,6,3.4712,8015,0,0,68,1173,983,82,3,0
carol,carol.txt,2309,1,5,3.4712,8015,1,1,73,1178,951,106,0,0
crein,crein.txt,2309,2,6,3.4712,8015,0,0,73,1180,956,95,5,0
cripe,cripe.txt,2309,2,6,3.4712,8015,0,0,79,1160,978,87,5,0
raits,raits.txt,2309,2,6,3.4712,8015,0,0,70,1179,966,90,4,0
starn,starn.txt,2309,2,6,3.4712,8015,0,0,65,1178,980,85,1,0
arise,arise.txt,2309,1,6,3.471633,8016,1,1,60,1214,924,103,7,0
drape,drape.txt,2309,1,6,3.471633,8016,1,1,78,1147,998,84,1,0
marse,marse.txt,2309,2,6,3.471633,8016,0,0,71,1182,956,96,4,0
patel,patel.txt,2309,2,5,3.471633,8016,0,0,90,1136,987,96,0,0
spane,spane.txt,2309,2,6,3.471633,8016,0,0,82,1154,977,94,2,0
thrae,thrae.txt,2309,2,6,3.471633,8016,0,0,85,1149,977,97,1,0
crame,crame.txt,2309,2,6,3.472066,8017,0,0,82,1158,969,97,3,0
later,later.txt,2309,1,6,3.472066,8017,1,1,82,1150,979,96,1,0
plait,plait.txt,2309,1,6,3.472066,8017,1,1,89,1150,959,108,2,0
prost,prost.txt,2309,2,6,3.472066,8017,0,0,83,1153,978,90,5,0
resit,resit.txt,2309,2,6,3.472066,8017,0,0,78,1166,964,99,2,0
slain,slain.txt,2309,1,5,3.472066,8017,1,1,74,1169,964,101,0,0
surat,surat.txt,2309,2,6,3.472066,8017,0,0,75,1172,962,97,3,0
conte,conte.txt,2309,2,6,3.472499,8018,0,0,79,1157,977,95,1,0
derat,derat.txt,2309,2,6,3.472499,8018,0,0,88,1146,975,96,4,0
neist,neist.txt,2309,2,6,3.472499,8018,0,0,80,1175,942,107,5,0
plier,plier.txt,2309,1,6,3.472499,8018,1,1,80,1148,988,91,1,0
salon,salon.txt,2309,1,6,3.472499,8018,1,1,72,1168,972,95,1,0
cried,cried.txt,2309,1,6,3.472932,8019,1,1,81,1155,973,95,4,0
pearl,pearl.txt,2309,1,5,3.472932,8019,1,1,87,1151,959,111,0,0
sonar,sonar.txt,2309,1,6,3.472932,8019,1,1,70,1164,987,84,3,0
trons,trons.txt,2309,2,6,3.472932,8019,0,0,63,1171,997,76,2,0
canoe,canoe.txt,2309,1,6,3.473365,8020,1,1,70,1167,978,92,1,0
clair,clair.txt,2309,2,6,3.473365,8020,0,0,76,1169,962,99,3,0
lande,lande.txt,2309,2,5,3.473365,8020,0,0,68,1161,999,81,0,0
marle,marle.txt,2309,2,6,3.473365,8020,0,0,76,1152,995,84,2,0
slipe,slipe.txt,2309,2,6,3.473365,8020,0,0,82,1146,991,86,4,0
spilt,spilt.txt,2309,1,6,3.473365,8020,1,1,75,1162,973,97,1,0
talon,talon.txt,2309,1,6,3.473365,8020,1,1,71,1173,963,100,1,0
heast,heast.txt,2309,2,6,3.473798,8021,0,0,75,1174,953,105,2,0
ronde,ronde.txt,2309,2,6,3.473798,8021,0,0,79,1152,985,91,2,0
salut,salut.txt,2309,2,6,3.473798,8021,0,0,68,1176,971,91,3,0
sarin,sarin.txt,2309,2,6,3.473798,8021,0,0,73,1160,986,89,1,0
curet,curet.txt,2309,2,6,3.474231,8022,0,0,91,1131,990,95,2,0
print,print.txt,2309,1,6,3.474231,8022,1,1,67,1173,973,94,1,0
ranes,ranes.txt,2309,2,6,3.474231,8022,0,0,68,1163,994,83,1,0
share,share.txt,2309,1,6,3.474231,8022,1,1,72,1183,939,112,2,0
targe,targe.txt,2309,2,6,3.474231,8022,0,0,75,1163,974,95,2,0
tiars,tiars.txt,2309,2,6,3.474231,8022,0,0,71,1175,962,99,2,0
clapt,clapt.txt,2309,2,6,3.474664,8023,0,0,71,1150,1010,77,1,0
thole,thole.txt,2309,2,6,3.474664,8023,0,0,69,1165,987,86,2,0
tuile,tuile.txt,2309,2,6,3.474664,8023,0,0,79,1163,960,106,1,0
armet,armet.txt,2309,2,6,3.475097,8024,0,0,79,1146,995,86,3,0
clame,clame.txt,2309,2,6,3.475097,8024,0,0,78,1156,976,98,1,0
pance,pance.txt,2309,2,6,3.475097,8024,0,0,74,1163,976,93,3,0
prose,prose.txt,2309,1,6,3.475097,8024,1,1,74,1154,991,85,4,0
sidle,sidle.txt,2309,2,6,3.475097,8024,0,0,78,1155,980,93,3,0
since,since.txt,2309,1,6,3.475097,8024,1,1,70,1168,972,97,1,0
space,space.txt,2309,1,6,3.475097,8024,1,1,77,1162,965,101,3,0
tarsi,tarsi.txt,2309,2,6,3.475097,8024,0,0,63,1194,947,102,3,0
ariot,ariot.txt,2309,2,6,3.475531,8025,0,0,82,1174,933,113,7,0
prise,prise.txt,2309,2,6,3.475531,8025,0,0,82,1164,950,109,4,0
prone,prone.txt,2309,1,5,3.475531,8025,1,1,78,1152,978,100,0,0
scire,scire.txt,2309,2,6,3.475531,8025,0,0,72,1168,972,93,4,0
serac,serac.txt,2309,2,5,3.475531,8025,0,0,67,1176,967,99,0,0
serin,serin.txt,2309,2,6,3.475531,8025,0,0,82,1147,981,98,1,0
snail,snail.txt,2309,1,6,3.475531,8025,1,1,76,1163,963,105,1,0
cared,cared.txt,2309,2,6,3.475964,8026,0,0,71,1152,1003,82,1,0
leats,leats.txt,2309,2,6,3.475964,8026,0,0,73,1162,978,94,2,0
saute,saute.txt,2309,1,6,3.475964,8026,1,1,70,1188,935,109,6,0
taros,taros.txt,2309,2,6,3.475964,8026,0,0,81,1147,988,87,6,0
brant,brant.txt,2309,2,6,3.476397,8027,0,0,67,1163,994,82,3,0
coste,coste.txt,2309,2,6,3.476397,8027,0,0,63,1173,985,86,2,0
lanes,lanes.txt,2309,2,6,3.476397,8027,0,0,68,1176,966,95,4,0
leapt,leapt.txt,2309,1,6,3.476397,8027,1,1,84,1136,992,94,2,0
paste,paste.txt,2309,1,6,3.476397,8027,1,1,86,1136,989,92,5,0
pater,pater.txt,2309,2,6,3.476397,8027,0,0,85,1129,1006,88,1,0
salep,salep.txt,2309,2,6,3.476397,8027,0,0,81,1145,990,88,5,0
saunt,saunt.txt,2309,2,6,3.476397,8027,0,0,79,1150,985,91,4,0
taper,taper.txt,2309,1,6,3.476397,8027,1,1,81,1136,1000,90,1,0
thane,thane.txt,2309,2,6,3.476397,8027,0,0,81,1146,986,93,3,0
spite,spite.txt,2309,1,6,3.47683,8028,1,1,78,1144,994,89,3,0
sprat,sprat.txt,2309,2,5,3.47683,8028,0,0,74,1154,987,94,0,0
stear,stear.txt,2309,2,6,3.47683,8028,0,0,69,1166,981,90,3,0
cores,cores.txt,2309,2,6,3.477263,8029,0,0,76,1154,981,97,1,0
glare,glare.txt,2309,1,6,3.477263,8029,1,1,76,1158,973,96,5,0
grace,grace.txt,2309,1,6,3.477263,8029,1,1,64,1183,958,99,4,0
saned,saned.txt,2309,2,6,3.477263,8029,0,0,75,1159,974,100,1,0
sored,sored.txt,2309,2,6,3.477263,8029,0,0,61,1168,999,79,2,0
sorta,sorta.txt,2309,2,6,3.477263,8029,0,0,73,1160,983,87,6,0
spile,spile.txt,2309,2,6,3.477263,8029,0,0,79,1137,1008,82,3,0
cares,cares.txt,2309,2,6,3.477696,8030,0,0,75,1157,978,97,2,0
carls,carls.txt,2309,2,6,3.477696,8030,0,0,71,1142,1019,76,1,0
claes,claes.txt,2309,2,6,3.477696,8030,0,0,74,1151,993,89,2,0
clear,clear.txt,2309,1,6,3.477696,8030,1,1,84,1138,986,97,3,0
panel,panel.txt,2309,1,6,3.477696,8030,1,1,78,1145,989,94,2,0
rotan,rotan.txt,2309,2,6,3.477696,8030,0,0,83,1142,985,96,3,0
rotes,rotes.txt,2309,2,5,3.477696,8030,0,0,71,1160,982,96,0,0
salto,salto.txt,2309,2,6,3.477696,8030,0,0,71,1165,975,95,3,0
teils,teils.txt,2309,2,6,3.477696,8030,0,0,68,1185,944,109,3,0
tires,tires.txt,2309,2,6,3.477696,8030,0,0,75,1163,967,101,3,0
toils,toils.txt,2309,2,6,3.477696,8030,0,0,68,1163,987,89,2,0
crans,crans.txt,2309,2,6,3.478129,8031,0,0,66,1168,982,91,2,0
drail,drail.txt,2309,2,6,3.478129,8031,0,0,84,1132,999,93,1,0
hanse,hanse.txt,2309,2,6,3.478129,8031,0,0,70,1169,973,90,7,0
plore,plore.txt,2309,2,6,3.478129,8031,0,0,73,1157,986,88,5,0
tains,tains.txt,2309,2,6,3.478129,8031,0,0,77,1152,981,97,2,0
trash,trash.txt,2309,1,6,3.478129,8031,1,1,65,1174,969,98,2,0
scote,scote.txt,2309,2,6,3.478562,8032,0,0,64,1172,979,92,2,0
sprit,sprit.txt,2309,2,6,3.478562,8032,0,0,81,1146,982,96,4,0
tiler,tiler.txt,2309,2,6,3.478562,8032,0,0,88,1123,1005,91,2,0
daine,daine.txt,2309,2,6,3.478995,8033,0,0,80,1147,981,98,3,0
daint,daint.txt,2309,2,6,3.478995,8033,0,0,82,1129,1010,86,2,0
